Recipe,Cuisine,Vegetarian,Vegan,Rose House Dining Room,104West!,Becker House Dining Room,Cook House Dining Room,Jansen's Dining Room at Bethe House,Keeton House Dining Room,Morrison Dining,North Star Dining Room,Okenshields,Risley Dining Room,Straight from the Market
Red Curry Chicken Saiy,Thai,N,N,N,N,N,Y,N,N,N,N,Y,N,Y
Steamed Jasmine Rice,Asian,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Tiger Roasted Carrots,None,Y,Y,N,N,N,Y,N,N,N,N,N,N,N
Sweet Popcake Pancakes,Dessert,N,N,N,N,N,Y,N,N,N,N,N,N,N
Sesame Roasted & Salted Edamame,None,Y,Y,N,N,N,Y,N,N,N,N,N,N,N
Asian BBQ Pork,Asian,N,N,N,N,N,Y,N,N,Y,N,N,N,N
Spicy Red Curry Tofu,Thai,Y,Y,N,N,N,Y,N,N,Y,N,N,N,N
Vegetable Fried Rice with Egg,Chinese,N,N,N,N,N,Y,N,N,Y,N,Y,N,N
Steamed Vegetable Melange,None,Y,Y,N,N,N,Y,N,N,Y,N,Y,N,N
Chicken Quesadilla,Mexican,N,N,N,Y,N,Y,N,N,N,N,N,N,N
Chef's Choice,None,Y,Y,N,Y,Y,Y,Y,N,N,Y,N,N,N
"Pastries, Cakes & Desserts",Dessert,N,N,Y,N,N,Y,Y,Y
Fresh Fruit Slices,None,Y,Y,Y,N,Y,Y,N,N,N,N,Y
Cornell Dairy Yogurt,None,Y,N,Y,N,Y,Y,Y,Y,N,N,Y,Y
Steamed Jasmine Rice,Chinese,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Salad Bar,None,Y,Y,N,Y,N,Y,N,Y,N,Y
Fresh Whole Fruit,None,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y
Cornell Dairy Ice Cream,Dessert,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y
Hot & Cold Beverages,None,Y,Y,N,Y,N,Y,N,Y,N,Y,N,Y
